Funding block,address,Funding Amount[CELO],Funding Entity,Number of LZ tx,Projects,Total LZ Volume $,Average LZ Volume $,Number of OAPPS,Number of Sendchian,Number of Chian,Onmichain Balance$,eth linea base scroll zks Balance$,affinity
20422861,0xa01775e5882f00ae4d9d8df5ba4f13222145c498,1.0684,Tether : Binance,19,"['Stargate' 'Stargate' 'Stargate' nan nan 'Stargate' 'Stargate' 'Stargate'
 nan 'Stargate' 'Stargate' nan 'Stargate' nan nan nan 'Stargate' nan
 'Stargate']",1107.66,58.3,2,8,9,41.99,"[0.0, 0, 0, 0, 0.68]",29
20422854,0xaf945d2c70df558b58c82e532f13cbb5a63f932e,1.0645,Tether : Binance,18,"['Stargate' 'Stargate' 'Stargate' nan nan 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' nan nan nan
 'Stargate']",1215.13,67.51,2,8,9,39.53,"[0.0, 0, 0, 0, 0.68]",29
20422839,0x342decd407f4a8ec44121abaf6c59a4103a4fce1,1.0648,Tether : Binance,17,"['Stargate' nan 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate'
 nan nan 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' nan 'Stargate']",1065.98,62.7,2,8,9,40.72,"[0.0, 0, 0, 0, 0.68]",29
20422834,0x288343cce3c641f40a4345bf03035d156015ef13,1.0625,Tether : Binance,18,"['Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan
 'Stargate' 'Stargate' nan nan nan nan 'Stargate' nan 'Stargate'
 'Stargate' 'Stargate']",1233.82,68.55,2,8,9,39.84,"[0.0, 0, 0, 0, 0.68]",29
20422816,0x72c568fd5bcfeb1567c719d13123e5f010ee72b6,1.0676,Tether : Binance,19,"[nan 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' nan 'Stargate' 'Stargate' nan 'Stargate' nan 'Stargate' nan
 'Stargate' 'Stargate']",1240.69,65.3,2,8,9,43.98,"[0.0, 0, 0, 0, 0.68]",29
20422816,0xb33e2bb00c6b2d15b2e8f04af976fc00b28cff51,1.0649,Tether : Binance,17,"['Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' nan 'Stargate' 'Stargate' nan 'Stargate' nan 'Stargate' nan
 nan]",1096.63,64.51,2,8,9,45.42,"[0.0, 0, 0, 0, 0.67]",29
20422792,0x4fa39d3624e03360ccf95f19317ee1e58a251606,1.0737,Tether : Binance,18,"[nan nan nan 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan 'Stargate'
 'Stargate' nan]",1252.41,69.58,2,8,9,47.72,"[0.0, 0, 0, 0, 0.67]",29
20422790,0x60f8657ed39523e320b689f1912ac1a1c5a476af,1.0696,Tether : Binance,17,"['Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' nan nan]",1223.46,71.97,2,7,8,40.88,"[0.0, 0, 0, 0, 0.67]",29
20422782,0x0443c91906d28214f721ba405cb9fa4b56e61d6b,1.0731,Tether : Binance,18,"['Stargate' 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' nan 'Stargate'
 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' nan nan nan
 'Stargate']",1251,69.5,2,8,9,38.21,"[0.0, 0, 0, 0, 0.67]",29
20422778,0xa83b0fdc1ce0a20355a4dd59abbefbaea90193a2,1.0784,Tether : Binance,16,"['Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' nan 'Stargate' nan nan nan 'Stargate' 'Stargate' 'Stargate']",1061.63,66.35,2,7,8,37.56,"[0.0, 0, 0, 0, 0.67]",29
20422775,0x184e6aa3f5ceb613b6fab9b0e14c773ca69b6565,1.0742,Tether : Binance,17,"['Stargate' nan nan 'Stargate' nan nan 'Stargate' 'Stargate' 'Stargate'
 'Stargate' nan nan 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate']",1065.4,62.67,2,8,9,41.12,"[0.0, 0, 0, 0, 0.67]",29
20422764,0x822383348e57d2174cf6a2ddc055df74b2fcc2a7,1.0707,Tether : Binance,18,"[nan 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate'
 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan 'Stargate'
 nan nan]",1214.33,67.46,2,8,9,48.65,"[0.0, 0, 0, 0, 0.67]",29
20422755,0x95d79184f54b86dc7bd3bbe8b3e1ae11baa1dc38,1.0623,Tether : Binance,17,"['Stargate' nan nan 'Stargate' 'Stargate' 'Stargate' nan 'Stargate'
 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' nan 'Stargate' 'Stargate'
 nan]",1065.23,62.66,2,8,9,40.12,"[0.0, 0, 0, 0, 0.67]",29
20422754,0x3b446bac8a936da3af19b6ae85d6497bb8e1b519,1.0698,Tether : Binance,16,"['Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate'
 'Stargate' nan nan 'Stargate' 'Stargate' 'Stargate' nan nan 'Stargate']",1007.91,62.99,2,7,8,47.89,"[0.0, 0, 0, 0, 0.67]",29
20422747,0x0159ddcb272711e03f5a1cf08308d666b748fe3c,1.0656,Tether : Binance,16,"[nan 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan 'Stargate'
 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' nan 'Stargate' nan]",997.16,62.32,2,7,8,47.97,"[0.0, 0, 0, 0, 0.67]",29
20422739,0x50953e25421893d0ef661bc995c4f795f2fc9b38,1.0687,Tether : Binance,17,"[nan nan nan 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' nan
 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan
 'Stargate']",1076.86,63.34,2,8,9,45.31,"[0.0, 0, 0, 0, 0.67]",29
20422737,0xb75a6b0abee1e8278a52cda9462683bdeb43047e,1.0752,Tether : Binance,18,"['Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' nan
 'Stargate' nan nan 'Stargate' nan 'Stargate' 'Stargate' 'Stargate'
 'Stargate' nan]",1287.76,71.54,2,8,9,42.09,"[0.0, 0, 0, 0, 0.67]",29
20422726,0x248833ec5e315cfdcebbb5fe5b09b2d9425f5469,1.07,Tether : Binance,18,"['Stargate' 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan nan
 'Stargate' nan nan]",1235.96,68.66,2,7,8,46.22,"[0.0, 0, 0, 0, 0.67]",29
20422723,0xd555f1414f6f58be257addc40971f04632022c4e,1.0767,Tether : Binance,19,"['Stargate' 'Stargate' nan 'Stargate' nan 'Stargate' 'Stargate' 'Stargate'
 nan 'Stargate' nan 'Stargate' nan 'Stargate' nan nan nan 'Stargate'
 'Stargate']",1108.14,58.32,2,8,9,41.32,"[0.0, 0, 0, 0, 0.67]",29
20422719,0xac661daab60edb0953ded3b40401383939d72888,1.0624,Tether : Binance,18,"['Stargate' nan 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' nan 'Stargate'
 nan nan]",1214.65,67.48,2,8,9,52.44,"[0.0, 0, 0, 0, 0.67]",29
20422709,0xa56329f610483b138d3212ecd3447efe56be9a9b,1.0632,Tether : Binance,17,"['Stargate' nan 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' nan nan 'Stargate' nan 'Stargate' 'Stargate' nan
 nan]",1119.96,65.88,2,8,9,44.11,"[0.0, 0, 0, 0, 0.67]",29
20422705,0x436db08487b9252187a41197a6616c06bb35456b,1.073,Tether : Binance,18,"[nan 'Stargate' nan 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' nan
 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan 'Stargate' 'Stargate'
 'Stargate' 'Stargate']",1132.63,62.92,2,7,8,47.77,"[0.0, 0, 0, 0, 0.67]",29
20422702,0x6b40c74713764b0e1e3de333375d10c037e2f52c,1.0659,Tether : Binance,17,"[nan nan 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan nan 'Stargate'
 'Stargate' 'Stargate' nan 'Stargate' 'Stargate' nan 'Stargate' 'Stargate']",1048.21,61.66,2,8,9,45.7,"[0.0, 0, 0, 0, 0.67]",29
20422697,0x67e03617eb4c4acf754bc160d5279aa0c6bc53d4,1.0708,Tether : Binance,17,"['Stargate' 'Stargate' 'Stargate' 'Stargate' nan nan 'Stargate' nan nan
 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan 'Stargate']",1077.4,63.38,2,8,9,39.56,"[0.0, 0, 0, 0, 0.67]",29
20422691,0x745e791daa1e80a1dc4be22ad7eac9583e9d50eb,1.0701,Tether : Binance,17,"['Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan nan 'Stargate'
 nan nan nan 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan 'Stargate']",1085.07,63.83,2,8,9,44.58,"[0.0, 0, 0, 0, 0.67]",29
20418688,0x54e494bf375a6107f6c36fbc472344c4370adbb1,1.0622,Tether : Binance,14,"[nan nan nan 'Testnet Bridge' 'Aptos Bridge' nan 'Stargate' 'Stargate'
 'Aptos Bridge' 'Aptos Bridge' nan nan nan 'Stargate']",189.43,13.53,4,5,11,209.91,"[60.8, 22.6, 25.71, 0, 77.46]",35
20418396,0x87577e4df3f29f0814a117e8e198982409846aeb,1.0687,Tether : Binance,15,"['Stargate' 'Stargate' nan nan 'Aptos Bridge' 'Stargate' 'Testnet Bridge'
 nan nan nan 'Testnet Bridge' nan 'Aptos Bridge' nan 'Stargate']",277.18,18.48,4,5,10,203.03,"[56.1, 24.2, 22.06, 0, 74.07]",35
20418391,0xd75af8da2c30b0500d2041be60a1b3a4683947fe,1.0681,Tether : Binance,15,"['Testnet Bridge' nan nan 'Aptos Bridge' nan nan 'Testnet Bridge'
 'Stargate' 'Stargate' 'Stargate' nan nan 'Aptos Bridge' 'Stargate' nan]",239.29,15.95,4,5,10,206.8,"[57.78, 24.9, 21.95, 0, 77.15]",35
20418371,0x90db1d20fed8189bdfbec4a061f3cb8f22de591c,1.066,Tether : Binance,14,"[nan nan 'Testnet Bridge' 'Stargate' 'Aptos Bridge' 'Aptos Bridge' nan
 'Stargate' 'Testnet Bridge' nan 'Stargate' nan nan nan]",153.77,10.98,4,5,10,199.36,"[55.53, 24.02, 21.99, 0, 75.35]",35
20418369,0xc6d892611fecc7baeb49cc404f9561b6708a3d2e,1.0656,Tether : Binance,14,"[nan nan nan nan 'Stargate' nan 'Testnet Bridge' 'Testnet Bridge'
 'Stargate' nan 'Stargate' 'Aptos Bridge' nan 'Aptos Bridge']",197.77,14.13,4,5,10,201.86,"[56.0, 24.96, 22.06, 0, 77.08]",35
