Funding block,address,Funding Amount[CELO],Funding Entity
20536987,0x7cb00a06e8aaba0708f195a4e0ced8cee88512bf,0.934,Tether : Binance
20536979,0xc1a2d90053e036041f782c0b16ee3afe50fd3812,0.933,Tether : Binance
20536972,0xff18c6e1ab72a54eef95dc132949140dac6aa008,0.931,Tether : Binance
20536961,0x33ba316b54923195c43984dbb65d59064c07ede6,0.936,Tether : Binance
20536955,0x8ba2055fa5c13f19a8187efc996b2b6cedf99bd5,0.93,Tether : Binance
20536949,0xfb5180607026e03edb75d69d94f0ce49a2763df4,0.939,Tether : Binance
20536939,0x2739ea8b4ae221dbb7776d75502d21e22cda5689,0.93,Tether : Binance
20536930,0x630f64dd17c5c5f66bc4ef555968c7b17a791329,0.932,Tether : Binance
20536924,0x4a9a5f59f88f201b53d7a2d0508f856f2632de5e,0.936,Tether : Binance
20536913,0x94523a06cbc15d826a5e1462da24a3f053004462,0.929,Tether : Binance
20536903,0x7240913a54ac15503f4dc52c1e24fad4f5c9025b,0.939,Tether : Binance
20536897,0x631ac86ac8132e5280f89fdfb8fc5a814b006a5a,0.936,Tether : Binance
20536886,0xee59796edda2e615df899977ec108c2432d75c7c,0.932,Tether : Binance
20536880,0xd1bf5dcc09c053a01e479baf61dbf2a661c66ba0,0.929,Tether : Binance
20536876,0xf5b6637239d13e1aa807d94968b398f0db164e5b,0.936,Tether : Binance
20536865,0x6b42a71bf65be56c49153122a88b259449527279,0.935,Tether : Binance
20536857,0x3879807f5ce4a8ad79107215104fa1e639d07fb8,0.937,Tether : Binance
20536849,0x651c82ebb6f9205e8a032116d872be7eb4b9b655,0.932,Tether : Binance
20536841,0x4c54429d3cfa7bb7dd57e581789513f09ff08cc4,0.936,Tether : Binance
20536835,0x05bc71937d4210dec31f588a5f7807aac66c99f7,0.938,Tether : Binance
20536828,0x63c22e64c395e373ec28827cce8df2040e286262,0.937,Tether : Binance
20536817,0xc986406082ada4eafea5e5f2781cafdd5e8dfffa,1.099,Tether : Binance
20536802,0x21929b390955aa9f54b8fda9fd3f327b01b04805,1.004837,Tether : Binance
20536653,0xe297fe3888803d07ddc26481f9c86c346635ce87,0.913,Tether : Binance
20536644,0xad5bbeaaf7d84c72359fe12e7d583d5f9291320e,0.916,Tether : Binance
20536634,0xc54dbff52d6e9f906ee68031169c21011633603b,0.912,Tether : Binance
20536625,0xa90c8fbeb3c8d3be35977b3e89fdbf8c10aee6c5,0.914,Tether : Binance
20536619,0x9bb751f651acf0ca8228790ed759c3b477fbc8b5,0.913,Tether : Binance
20536609,0x3b2b01dd488d6baf4015745974ae7bba44511a79,0.916,Tether : Binance
20536600,0x7665c0df6739e33f2b1fb791f58a519937bb6730,0.917,Tether : Binance
20536593,0xca8257415c35bb5d54e0bdf519f37a7556dadd6d,0.91,Tether : Binance
20536591,0x6dbeaba6692d45e33269acc6f94c3ea6aeade023,1.099,Tether : Binance
20536585,0xa839c40716dbaf2ebc3d3004148a45e34f0ea3f3,0.914,Tether : Binance
20536575,0xc79f2cd6de69db73ea691f4cb24eecf188216bc8,0.919,Tether : Binance
20536567,0xc4db28ccef814a5652ede996e89efb2ac57b3035,0.919,Tether : Binance
20536559,0x7a0fe459a6059044a00e1ade1af970f2e54c283e,0.915,Tether : Binance
20536552,0xf4a205ffe76c783d17c85351a546c297e6ce8ec1,0.91,Tether : Binance
20536541,0x7ffd23035fe4c7eafbaa8c9e23d3078d0b7acec5,0.919,Tether : Binance
20536533,0x5025588ea8bf2705cff97537f964306029fe09ac,0.919,Tether : Binance
20536528,0x6d2201666a447276ab88ee6385aadf4d66fede07,0.918,Tether : Binance
20536519,0x43090b7e3796ab4cdab2eda827edddd90df7a0b0,0.917,Tether : Binance
20536512,0x9449255b3dd498f02025fff260e972951a742ffd,0.92,Tether : Binance
20536502,0x86fe9e7d0117386afe7dba1d43b789a40c68c8c3,0.917,Tether : Binance
20536496,0x6a7290e1c61f97f01f91aa832fbf7ea8f25f08a0,0.913,Tether : Binance
20536489,0x72e825852dd7da538b17a7a847fc0467d83cda9f,0.911,Tether : Binance
20536478,0xbdcbf14729d98bcdac9e30aa71a41894f2e658c0,0.911,Tether : Binance
20536471,0x4646eb4b9527c0385a07f6c5567a0a567f47f741,0.911,Tether : Binance
20536461,0xe2dab77f348fd510d135a7cb2c8b92edad757017,0.915,Tether : Binance
20536454,0xdffa75b03abdec3e7d6b2210229fa49cbdb43de3,0.913,Tether : Binance
20536449,0xc0eb3fba03583fca89eb311c3cb63e6cd2605b0d,0.916,Tether : Binance
20536442,0xe44cacf255209477a3aca2bbed85c9d8067e9ada,0.91,Tether : Binance
20536433,0x5d4c0139b241c08b46641da9234cda4e54f5e26d,0.911,Tether : Binance
20536427,0x6a5f75b1fbbd7a7ccf6b086df2fbd66c55d2728e,0.916,Tether : Binance
20536420,0xf4854629bba530e5dcec75dfeb05e9e0d60c2713,0.918,Tether : Binance
20536412,0xb1b58491dfcf78e0f613697f6cabe5fbebf70c13,0.911,Tether : Binance
20536405,0x5fdafe62950eb3ece1770a4064fddd45407f5d18,0.916,Tether : Binance
20536397,0x4154a1ca7000bf05f4506ef06645a8ee55f42e78,0.916,Tether : Binance
20536387,0x5a98c3572c024cb62b55903ba3c50d3d31a32053,0.92,Tether : Binance
20536378,0x3155d2ce0af25e06e867e7bfde961bee2eee5a3b,0.917,Tether : Binance
20536370,0xab69ccc80808ce9c6b82fa262e0b200cda896a42,0.912,Tether : Binance
20536361,0x296f900d827b4793d0db19b1080c0799e8a4d738,0.915,Tether : Binance
20536354,0xa21be34ef97d3d1a28eaecb869516fdd8c49543c,0.915,Tether : Binance
20536353,0xb06ef1bf3c77533d940a97448960e300f2e318ea,1.099,Tether : Binance
